Unnamed: 0,Operator,Network Type,In Out Travelling,State Name,Call Dropped,Satisfactory,Poor Voice Quality,label
193,Airtel,4G,Outdoor,Uttarakhand,17.35159817351598,38.58447488584475,44.06392694063928,Poor
194,Airtel,4G,Outdoor,West Bengal,4.864864864864865,83.42342342342343,11.711711711711711,Excellent
195,Airtel,4G,Travelling,Andhra Pradesh,6.482758620689657,12.0,81.51724137931033,Inadequate
196,Airtel,4G,Travelling,Assam,0.0,100.0,0.0,Excellent
197,Airtel,4G,Travelling,Bihar,7.981220657276995,57.74647887323944,34.27230046948357,Average
198,Airtel,4G,Travelling,Chandigarh,2.631578947368421,2.631578947368421,94.73684210526315,Inadequate
199,Airtel,4G,Travelling,Chattisgarh,1.3888888888888888,91.66666666666666,6.9444444444444455,Excellent
200,Airtel,4G,Travelling,Delhi,6.3509149623250805,75.78040904198063,17.868675995694293,Very Good
201,Airtel,4G,Travelling,Goa,100.0,0.0,0.0,Inadequate
202,Airtel,4G,Travelling,Gujarat,3.1674208144796383,93.96681749622923,2.865761689291101,Excellent
203,Airtel,4G,Travelling,Haryana,5.0,80.45454545454545,14.545454545454545,Excellent
204,Airtel,4G,Travelling,Himachal Pradesh,0.0,96.77419354838707,3.2258064516129035,Excellent
205,Airtel,4G,Travelling,Jharkhand,21.428571428571427,50.0,28.57142857142857,Average
206,Airtel,4G,Travelling,Karnataka,10.569105691056912,45.20325203252033,44.227642276422756,Average
207,Airtel,4G,Travelling,Kerala,2.0100502512562812,95.47738693467336,2.512562814070352,Excellent
208,Airtel,4G,Travelling,Madhya Pradesh,2.8169014084507045,77.46478873239437,19.718309859154925,Very Good
209,Airtel,4G,Travelling,Maharashtra,1.7790262172284643,88.67041198501873,9.550561797752808,Excellent
210,Airtel,4G,Travelling,Meghalaya,0.0,100.0,0.0,Excellent
211,Airtel,4G,Travelling,Odisha,22.72727272727273,68.18181818181817,9.090909090909092,Very Good
212,Airtel,4G,Travelling,Punjab,0.8156606851549755,6.199021207177816,92.9853181076672,Inadequate
213,Airtel,4G,Travelling,Rajasthan,3.153153153153153,78.82882882882883,18.01801801801802,Very Good
214,Airtel,4G,Travelling,Tamil Nadu,8.24742268041237,76.6323024054983,15.120274914089348,Very Good
215,Airtel,4G,Travelling,Telangana,3.5190615835777126,41.20234604105572,55.278592375366564,Average
216,Airtel,4G,Travelling,Tripura,0.0,30.0,70.0,Poor
217,Airtel,4G,Travelling,Uttar Pradesh,12.324929971988794,61.344537815126046,26.33053221288516,Very Good
218,Airtel,4G,Travelling,Uttarakhand,0.4878048780487805,95.60975609756098,3.902439024390244,Excellent
219,Airtel,4G,Travelling,West Bengal,5.641025641025642,71.28205128205127,23.07692307692308,Very Good
220,BSNL,2G,Indoor,Andaman and Nicobar Islands,0.0,91.66666666666666,8.333333333333332,Excellent
221,BSNL,2G,Indoor,Andhra Pradesh,5.563282336578583,92.35048678720446,2.086230876216968,Excellent
222,BSNL,2G,Indoor,Bihar,0.0,11.111111111111107,88.88888888888891,Inadequate
223,BSNL,2G,Indoor,Chattisgarh,8.571428571428571,77.14285714285717,14.285714285714285,Very Good
224,BSNL,2G,Indoor,Gujarat,35.29411764705883,52.941176470588246,11.764705882352938,Average
225,BSNL,2G,Indoor,Jharkhand,16.666666666666664,0.0,83.33333333333334,Inadequate
226,BSNL,2G,Indoor,Karnataka,8.433734939759036,71.68674698795179,19.87951807228916,Very Good
227,BSNL,2G,Indoor,Kerala,3.4161490683229814,62.732919254658384,33.85093167701863,Very Good
228,BSNL,2G,Indoor,Madhya Pradesh,0.0,70.0,30.0,Very Good
229,BSNL,2G,Indoor,Maharashtra,6.593406593406594,84.61538461538461,8.791208791208794,Excellent
